iter	RMSE
671	0.1784398277
672	0.1784047924
673	0.1783844476
674	0.1783688129
675	0.178326682
676	0.1782972766
677	0.1782793048
678	0.1782605624
679	0.1782261144
680	0.1781983575
681	0.1781740952
682	0.1781564562
683	0.1781294349
684	0.1781115196
685	0.1780782714
686	0.1780348742
687	0.1780062327
688	0.1779814644
689	0.1779517349
690	0.1779177464
691	0.1778901819
692	0.1778647379
693	0.1778144224
694	0.1778038432
695	0.1777666522
696	0.1777375531
697	0.1776989315
698	0.1776660799
699	0.1776349808
700	0.1776220885
701	0.1776006583
702	0.1775776926
703	0.177552449
704	0.177515302
705	0.177495223
706	0.1774609026
707	0.1774418104
708	0.1774191234
709	0.17740067
710	0.1773796434
711	0.1773531401
712	0.177324662
713	0.1772826621
714	0.1772544685
715	0.1772321153
716	0.1772039196
717	0.177180651
718	0.1771601042
719	0.1771363248
720	0.1771002982
721	0.1770660301
722	0.1770385689
723	0.1769908182
724	0.1769693535
725	0.1769554257
726	0.1769238752
727	0.176901363
728	0.1768667292
729	0.1768362617
730	0.1768014133
731	0.1767765654
732	0.1767392277
733	0.1767018714
734	0.1766689138
735	0.176645811
736	0.1766272144
737	0.1766134171
738	0.1765890126
739	0.1765628548
740	0.1765381472
741	0.1765185261
742	0.1765120588
743	0.176479129
744	0.17645635
745	0.1764288209
746	0.1764063076
747	0.1763791791
748	0.1763434716
749	0.1763105755
750	0.1762883496
751	0.1762655068
752	0.1762373702
753	0.1762203757
754	0.1761874621
755	0.1761513843
756	0.1761349759
757	0.1761031557
758	0.1760817392
759	0.1760486788
760	0.1760256636
761	0.1759864239
762	0.1759491101
763	0.1759233246
764	0.1758926744
765	0.1758743377
766	0.1758421641
767	0.1758099299
768	0.175801551
769	0.1757630002
770	0.1757313052
771	0.1757038992
772	0.1756658627
773	0.1756485125
774	0.1756228643
775	0.1756015266
776	0.175583731
777	0.1755541903
778	0.1755159989
779	0.1754952899
780	0.1754602924
781	0.1754292836
782	0.1754071829
783	0.1753817987
784	0.175335256
785	0.1752984437
786	0.17527077
787	0.1752491104
788	0.1752155454
789	0.1751792281
790	0.1751404712
791	0.1751067422
792	0.1750864094
793	0.1750584673
794	0.1750283002
795	0.1750034978
796	0.1749738354
797	0.1749559237
798	0.174944382
799	0.1749153415
800	0.1748894598
801	0.1748647666
802	0.174838472
803	0.1748165439
804	0.1747797289
805	0.1747470893
806	0.1747165396
807	0.1746949059
808	0.1746781514
809	0.174656151
810	0.1746226731
811	0.1746003724
812	0.1745839004
813	0.174561665
814	0.1745467425
815	0.1745260673
816	0.1745075818
817	0.1744822679
818	0.1744508122
819	0.1744198481
820	0.1744042957
821	0.174383218
822	0.1743491176
823	0.1743195677
824	0.174297324
825	0.1742670864
826	0.1742371291
827	0.1742052371
828	0.174175987
829	0.1741586066
830	0.1741223392
831	0.1741086289
832	0.1740855947
833	0.1740635808
834	0.1740441421
835	0.1740157736
836	0.1739927184
837	0.1739571991
838	0.1739435615
839	0.1739083416
840	0.1738941467
841	0.1738746112
842	0.1738415526
843	0.1738120665
844	0.173795524
845	0.1737726629
846	0.1737381808
847	0.1737153604
848	0.173682775
849	0.1736603491
850	0.1736400849
851	0.1736230624
852	0.1735993397
853	0.1735642924
854	0.1735524805
855	0.1735284862
856	0.1735120827
857	0.1734856252
858	0.1734687129
859	0.1734421305
860	0.1734176342
861	0.1733959366
862	0.1733751741
863	0.1733581798
864	0.1733286664
865	0.1732920768
866	0.1732745515
867	0.1732570763
868	0.1732271671
869	0.1732093359
870	0.1731781324
871	0.1731515171
872	0.1731418267
873	0.1731202844
874	0.1731021828
875	0.1730776587
876	0.1730476759
877	0.1730208454
878	0.1729959951
879	0.1729714537
880	0.1729401795
881	0.1729175311
882	0.1728995108
883	0.1728665423
884	0.1728599218
885	0.1728415977
886	0.1728239355
887	0.1728036227
888	0.1727789411
889	0.1727513685
890	0.1727260651
891	0.1726902473
892	0.1726719007
893	0.1726441595
894	0.1726185265
895	0.1725879307
896	0.1725504143
897	0.1725145979
898	0.1724758327
899	0.1724598199
900	0.1724337946
901	0.1724212556
902	0.1724038163
903	0.1723719932
904	0.1723569363
905	0.1723256005
906	0.172314649
907	0.1722912031
908	0.1722593091
909	0.1722403755
910	0.1721954465
911	0.1721674301
912	0.1721391722
913	0.1721184511
914	0.1720974825
915	0.1720630161
916	0.1720343322
917	0.1720071304
918	0.1719866953
919	0.1719534726
920	0.1719221435
921	0.1718986146
922	0.1718752676
923	0.1718386708
924	0.1718159112
925	0.1717905566
926	0.1717661465
927	0.1717465259
928	0.1717386982
929	0.1717228477
930	0.1716855691
931	0.1716393547
932	0.17162274
933	0.1716023467
934	0.1715756327
935	0.1715458921
936	0.1715179214
937	0.1714784701
938	0.1714643512
939	0.1714321854
940	0.1714113758
941	0.1713767488
942	0.1713529587
943	0.171324485
944	0.1712866681
945	0.171257105
946	0.1712210181
947	0.1712040247
948	0.171178339
949	0.1711672769
950	0.1711430899
951	0.1711278364
952	0.1711127301
953	0.1710934179
954	0.1710763349
955	0.1710530381
956	0.1710223754
957	0.1710013558
958	0.17098214
959	0.1709347703
960	0.1709111853
961	0.170885436
962	0.170863232
963	0.1708478301
964	0.1708315846
965	0.1708100125
966	0.1707818055
967	0.1707570755
968	0.1707174217
969	0.1706845863
970	0.1706548223
971	0.1706304824
972	0.1706158199
973	0.1706000711
974	0.1705796408
975	0.1705605486
976	0.1705311579
977	0.1705071678
978	0.1704750432
979	0.170444374
980	0.1704093844
981	0.1703864763
982	0.1703438614
983	0.1703221242
984	0.1703006074
985	0.1702688317
986	0.1702481843
987	0.170223497
988	0.1701921096
989	0.1701742308
990	0.1701599957
991	0.1701359053
992	0.1701141901
993	0.1700910221
994	0.170070982
995	0.1700547435
996	0.1700305916
997	0.1700031622
998	0.1699828914
999	0.1699601011
